<<<<<<< HEAD
Eccentricity,Convexity,FeretDiameter,Area,Perimeter,Solidity,Extent,AspectRatio,Circularity,Class
0.36930628972413176,-0.45409264823685874,-0.481861977647301,-0.20476552703957235,-0.48564554432056256,-0.45409264823685874,-0.4438038463640323,0.702145368095728,-0.45709109876083964,Chlamydomonas_Reinhardtii
0.26625597975682047,-0.3014482597402468,-0.46480271704912757,-0.10444618526537935,-0.5147634363913847,-0.3014482597402468,-0.252233449104721,0.8100433083509762,-0.2933098081230825,Chlamydomonas_Reinhardtii
0.4067570799131938,-0.5115074677812302,-0.6287114345731072,-0.2144599779651541,-0.6059149144503863,-0.5115074677812302,-0.5656123528797068,0.2428864842843206,-0.5774043005298282,Chlamydomonas_Reinhardtii
0.1392068370517392,-0.7328423333216475,-0.5247741447836862,-0.19869333150184368,-0.4411851281985358,-0.7328423333216475,-0.6483360019538884,0.017557504742774843,-0.6892213282058129,Chlamydomonas_Reinhardtii
-0.1283434058097154,-0.4777054431637601,-0.5135743798430221,-0.3643924308337608,-0.513006184603241,-0.4777054431637601,-0.3446136922273158,0.07634754183011305,-0.39978246743634555,Chlamydomonas_Reinhardtii
-0.13930577891781754,-0.3654177292326085,-0.5290976546725594,-0.48251749419728795,-0.5334988125679297,-0.3654177292326085,-0.31070694610871225,-0.3189924564763945,-0.31649381165951074,Chlamydomonas_Reinhardtii
-0.2883537095474403,0.025913218681605777,-0.5040981075904867,-0.3952951275976151,-0.5233416592343482,0.025913218681605777,-0.0247605693860994,-0.34012972704045036,0.0250037612609425,Chlamydomonas_Reinhardtii
-0.417224148672164,-0.06992145747172472,-0.5209683395830925,-0.4661280949015574,-0.48707198383382055,-0.06992145747172472,-0.07281837454051457,-0.5394523167942906,-0.018586307539858512,Chlamydomonas_Reinhardtii
-0.223026536393729,-0.06594717208188339,-0.5428099448019404,-0.5015978794538388,-0.5407785033655887,-0.06594717208188339,-0.14087928177198136,-0.22596733165750796,-0.062009840481740956,Chlamydomonas_Reinhardtii
-0.3187744173186937,0.010210347544492158,-0.5984256442609819,-0.5399017498136995,-0.5950415302797675,0.010210347544492158,-0.16539177072550929,-0.1493998727902652,-0.06000149802061103,Chlamydomonas_Reinhardtii
-0.4145222982436584,-0.10337883388579569,-0.5306355095597679,-0.5019467027632992,-0.5017098694303715,-0.10337883388579569,-0.15391918969586807,-0.35351699948656895,-0.11353865264831925,Chlamydomonas_Reinhardtii
-0.26534268235005265,-0.12574300706985378,-0.5236940926222693,-0.19775673386998016,-0.42414324651065083,-0.12574300706985378,-0.19339162306816077,-0.2715681894203382,-0.2206793094373761,Chlamydomonas_Reinhardtii
-0.11616306645644697,-0.2813299436695145,-0.5964371387311753,-0.5419714545709304,-0.5763477942573939,-0.2813299436695145,-0.35244318466670094,-0.13800479740012053,-0.30964224114252814,Chlamydomonas_Reinhardtii
0.03301654943715877,-0.3565862377348794,-0.5418482372157287,-0.5431657957180727,-0.545499613713886,-0.3565862377348794,-0.3884856591197746,-0.006926837037323816,-0.38210384744697057,Chlamydomonas_Reinhardtii
0.5692327683480372,-0.33755215983120057,-0.6079816292893306,-0.25622627749812377,-0.5737132872853056,-0.33755215983120057,-0.4500442532715914,0.08461293754601978,-0.3548214986639116,Chlamydomonas_Reinhardtii
-0.07365125913170074,-0.23570517760582693,-0.4917425448065825,-0.42117654640542157,-0.4963045292469838,-0.23570517760582693,-0.2585937195278839,-0.09784136993293938,-0.25136637599689626,Chlamydomonas_Reinhardtii
-0.006701264850981711,-0.3194649974690577,-0.5430107496346105,-0.477499785951632,-0.557946518919131,-0.3194649974690577,-0.30817455647974595,-0.07992540920938228,-0.31373868531280297,Chlamydomonas_Reinhardtii
-0.17010158016574778,0.012347205498955053,-0.5046519967384258,-0.488097245939205,-0.4946018137253938,0.012347205498955053,-0.07925516043948816,-0.38944453384287125,-0.006670690377882278,Chlamydomonas_Reinhardtii
-0.1191090623423209,-0.35457521067550946,-0.4988718878806425,-0.4216887073690715,-0.4987810121168677,-0.35457521067550946,-0.35889078003525643,-0.029622672212317666,-0.36370249340057365,Chlamydomonas_Reinhardtii
-0.06811654451889401,-0.1370444420074829,-0.45365963434787404,-0.4190831088086236,-0.4418855588953961,-0.1370444420074829,-0.1918005531521917,-0.14966863253083929,-0.13587235393968666,Chlamydomonas_Reinhardtii
-0.017124026695467143,-0.3586403467784537,-0.5259046967238227,-0.37866148667483596,-0.5476283421659269,-0.3586403467784537,-0.30718668013825706,-0.00501100248704022,-0.34154438195414777,Chlamydomonas_Reinhardtii
